infl, og, ri
6.09,3.92,-0.14
6.36,3.5,-0.21
6.21,5.22,-0.9
5.94,4.58,-1.82
6.57,4.39,-2.28
7.13,5.08,-1.18
7.57,5.54,-1.84
8.62,6.1,-0.42
8.9,6.11,0.69
9.51,5.72,0.15
10.92,4.75,-0.72
11.93,3.68,-1.47
12.92,2.98,-2.06
13.57,0.24,-0.93
11.57,-1.67,-1.79
10.6,-1.34,-2.27
9.31,-1.13,-1.5
7.87,1.53,-2.44
9.03,4.16,-2.6
9.59,4.96,-0.93
9.48,4.9,-1.04
10.38,5.47,-1.2
10.39,4.21,0.27
9.93,3.02,-0.99
10.35,2.24,-0.26
9.24,1.83,0.86
8.26,2.06,0.26
7.79,3.09,0.56
7.34,3.49,1.98
7.18,3.49,1.37
7.76,3.35,-0.26
7.95,3.82,0.55
8.79,3.86,1.14
9.87,3.62,1.61
11.07,4.06,1.45
11.27,1.94,2.53
10.69,1.37,2
10.23,0.46,2.94
9.71,-0.38,3.68
9.74,0.39,5.22
10.27,0.72,5.59
10.52,0.91,5.57
9.84,1.23,4.78
9.54,1.06,5.53
8.85,0.25,5.22
8.12,0.05,4.94
7.65,0.31,4.88
6.99,0.83,4.96
6.87,1.63,5.34
6.87,2.7,5.46
6.69,2.9,4.99
6.43,1.74,5.18
5.67,2.53,5.13
5.28,1.94,4.79
5.32,1.3,4.54
5.31,2.75,5.27
4.68,2.56,5.05
4.29,2.65,5.47
3.15,2.07,6.56
2.17,2.96,5.99
2.03,2.61,6.24
1.51,2.25,6.19
1.67,2.11,6.01
2.08,1.96,6.02
2.39,2.54,6
2.48,3.59,6.13
2.28,4.66,5.14
2.31,3.87,4.74
2.51,4.04,5.15
2.82,3.68,5.01
3.46,4.33,5.6
3.9,4.36,5.84
3.84,3.7,5.99
4.1,3.82,6.71
4.34,4,7.25
3.96,3.49,6.42
4.18,3.83,6.05
4.47,3.34,7.07
3.96,2.67,6.99
4.09,2.5,5.94
4.5,1.53,6.52
3.97,1.92,6.71
4.01,2.75,6.79
4.05,1.66,7.65
3.32,1.41,8.78
3.14,0.25,8.11
3.33,-1.91,7.55
3.15,-1.08,5.77
3.31,-0.4,4.88
3.23,0.07,4.51
2.89,1.69,4.1
2.74,2.24,3.73
2.64,2.51,3.86
2.52,3.05,4.04
2.47,2.66,4.39
2.55,4.81,4.77
2.36,3.72,4.31
2.39,7.26,4.14
2.37,1.91,3.31
2.32,1.55,3.06
2.08,1.78,3.04
1.96,0.74,2.77
1.81,0.96,3.08
1.36,3.01,2.73
1.6,2.66,2.8
1.52,3.55,3.35
1.09,4.29,2.86
1.35,2.34,2.94
1.12,2.75,3.12
0.82,1.99,2.77
0.85,2.2,2.12
0.97,2.67,1.5
1.13,3,1.17
1.53,4.07,1.52
1.91,5.02,1.68
1.86,4.43,2.09
2.17,3.31,2.28
2.46,2.68,2.99
2.04,2.78,1.84
2.9,2,2.24
2.35,1.64,2.18
2.09,1.23,0.9
2.54,-0.03,1.28
2.08,1.02,1.36
2.08,1.45,1.07
2.29,1.06,0.8
2.31,1.19,0.76
1.93,0.25,0.33
2.04,0.53,0.11
2.03,1.18,0.43
1.72,2,-0.23
2.3,2.39,-0.15
2.23,1.92,-0.19
2.31,1.88,0.12
2.04,0.86,0.1
